name,id,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
The former Yugoslav Republic of Macedonia,807,7,17,21,22,37,47,45,59,82,85,81,74,76,136,140,137,123,117,97,100,100
Togo,768,57,65,74,99,97,98,118,169,173,194,242,265,259,280,281,282,274,262,251,248,224
Tonga,776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,780,12,12,12,14,18,17,14,16,17,22,21,42,91,145,164,186,192,221,241,244,264
Tunisia,788,76,60,47,61,68,85,68,103,92,97,103,123,129,236,238,225,223,201,204,202,199
Turkey,792,536,558,578,536,545,667,765,1172,1651,2000,2632,3468,3474,4753,4691,4611,4465,4255,3838,3464,2863
Turkmenistan,795,0,0,0,0,3,7,1,7,7,7,6,39,51,21,22,23,23,17,18,21,22
Turks and Caicos Islands,796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,800,350,268,206,110,80,96,89,103,114,153,225,362,445,491,542,616,682,749,809,844,804
Ukraine,804,462,594,698,748,643,579,547,726,712,817,961,1100,1177,1911,1904,1914,1871,1788,1737,1605,1468
United Arab Emirates,784,0,0,0,0,0,0,7,7,2,2,6,9,10,13,28,30,30,30,28,28,31
United Kingdom,826,106,65,41,39,38,29,32,27,27,22,21,29,32,59,61,57,57,64,69,69,63
United Rep. of Tanzania,834,33,33,28,21,23,35,24,58,126,236,342,413,456,546,561,569,568,560,513,421,320
United States of America,840,354,233,130,57,30,19,148,191,176,167,232,567,976,1537,1746,2019,2637,3384,4045,4451,4687
Uruguay,858,297,236,177,72,52,21,33,37,32,35,52,80,109,145,150,150,147,147,139,126,106
Uzbekistan,860,26,50,63,77,81,106,108,129,123,133,165,276,346,227,238,243,247,259,274,273,271
Vanuatu,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela (Bolivarian Republic of),862,363,466,546,588,531,496,407,457,307,235,219,346,456,823,764,721,680,742,797,837,849
Viet Nam,704,14007,8853,5765,3565,1583,395,155,116,97,85,79,144,205,169,171,171,163,161,148,132,126
Yemen,887,79,90,130,160,183,165,168,207,204,169,144,183,180,364,331,286,274,266,240,251,239
Zambia,894,15,17,32,46,52,52,50,42,17,10,9,24,28,36,39,43,52,53,56,60,60
Zimbabwe,716,25,20,16,16,14,14,7,17,104,654,1979,2433,2674,3076,3455,3740,3986,4223,4341,3969,2767
